provider_id,provider_name,specialty,city,state
P00001,Garcia Medical Group,Endocrinology,Shreveport,LA
P00002,Davis Medical Group,Primary Care,Lake Charles,la
P00003,Davis Medical Group,Primary Care,Lake Charles,la
P00004,Rodriguez Medical Group,Endocrinology,Shreveport,LA
P00005,Smith Medical Group,Primary Care,Shreveport,la
P00006,Rodriguez Medical Group,Family Medicine,New Orleans,la
P00007,Davis Medical Group,Primary Care,Lafayette,LA
P00008,Williams Medical Group,Family Medicine,New Orleans,Louisiana
P00009,Johnson Medical Group,Family Medicine,Lake Charles,Louisiana
P00010,Miller Medical Group,Endocrinology,New Orleans,Louisiana
P00011,Johnson Medical Group,Endocrinology,Baton Rouge,LA
P00012,Jones Medical Group,Family Medicine,Lafayette,la
P00013,Williams Medical Group,Cardiology,Shreveport,Louisiana
P00014,Johnson Medical Group,Family Medicine,New Orleans,LA
P00015,Lopez Medical Group,Family Medicine,Lake Charles,Louisiana
P00016,Brown Medical Group,Primary Care,New Orleans,Louisiana
P00017,Gonzalez Medical Group,Primary Care,Lake Charles,la
P00018,Lopez Medical Group,Nephrology,Lafayette,la
P00019,Smith Medical Group,Cardiology,Shreveport,la
P00020,Johnson Medical Group,Primary Care,Baton Rouge,LA
P00021,Miller Medical Group,Family Medicine,Baton Rouge,Louisiana
P00022,Garcia Medical Group,Family Medicine,Lake Charles,LA
P00023,Gonzalez Medical Group,Nephrology,Baton Rouge,Louisiana
P00024,Martinez Medical Group,Endocrinology,Lafayette,Louisiana
P00025,Lopez Medical Group,Internal Medicine,Shreveport,la
P00026,Brown Medical Group,Nephrology,Shreveport,LA
P00027,Jones Medical Group,Cardiology,Baton Rouge,Louisiana
P00028,Johnson Medical Group,Internal Medicine,Baton Rouge,Louisiana
P00029,Davis Medical Group,Internal Medicine,New Orleans,LA
P00030,Brown Medical Group,Emergency Medicine,Shreveport,la
P00031,Gonzalez Medical Group,Family Medicine,Lafayette,la
P00032,Hernandez Medical Group,Primary Care,Lafayette,la
P00033,Johnson Medical Group,Cardiology,Lafayette,Louisiana
P00034,Hernandez Medical Group,Emergency Medicine,Shreveport,LA
P00035,Rodriguez Medical Group,Internal Medicine,Baton Rouge,LA
P00036,Jones Medical Group,Primary Care,New Orleans,Louisiana
P00037,Williams Medical Group,Primary Care,Lafayette,LA
P00038,Gonzalez Medical Group,Family Medicine,Lake Charles,LA
P00039,Gonzalez Medical Group,Emergency Medicine,Lafayette,Louisiana
P00040,Davis Medical Group,Endocrinology,Baton Rouge,LA
P00041,Hernandez Medical Group,Nephrology,Baton Rouge,LA
P00042,Hernandez Medical Group,Endocrinology,Lake Charles,Louisiana
P00043,Davis Medical Group,Internal Medicine,New Orleans,la
P00044,Brown Medical Group,Nephrology,Shreveport,la
P00045,Miller Medical Group,Family Medicine,New Orleans,Louisiana
P00046,Johnson Medical Group,Primary Care,Lake Charles,Louisiana
P00047,Jones Medical Group,Cardiology,Lafayette,LA
P00048,Davis Medical Group,Endocrinology,New Orleans,Louisiana
P00049,Jones Medical Group,Family Medicine,Baton Rouge,LA
P00050,Davis Medical Group,Nephrology,New Orleans,Louisiana
P00051,Jones Medical Group,Family Medicine,Baton Rouge,LA
P00052,Brown Medical Group,Primary Care,Lake Charles,Louisiana
P00053,Jones Medical Group,Family Medicine,New Orleans,la
P00054,Williams Medical Group,Family Medicine,Lafayette,la
P00055,Garcia Medical Group,Cardiology,Lake Charles,Louisiana
P00056,Jones Medical Group,Emergency Medicine,Lafayette,LA
P00057,Rodriguez Medical Group,Cardiology,Baton Rouge,la
P00058,Johnson Medical Group,Endocrinology,Shreveport,Louisiana
P00059,Brown Medical Group,Endocrinology,New Orleans,la
P00060,Rodriguez Medical Group,Emergency Medicine,Shreveport,LA
P00061,Brown Medical Group,Endocrinology,Lafayette,Louisiana
P00062,Brown Medical Group,Primary Care,New Orleans,la
P00063,Johnson Medical Group,Emergency Medicine,Lafayette,LA
P00064,Johnson Medical Group,Primary Care,Lafayette,la
P00065,Williams Medical Group,Endocrinology,Shreveport,la
P00066,Lopez Medical Group,Family Medicine,Lake Charles,LA
P00067,Rodriguez Medical Group,Endocrinology,Baton Rouge,LA
P00068,Lopez Medical Group,Emergency Medicine,New Orleans,Louisiana
P00069,Hernandez Medical Group,Endocrinology,Lafayette,LA
P00070,Johnson Medical Group,Primary Care,Baton Rouge,Louisiana
P00071,Martinez Medical Group,Primary Care,Lake Charles,Louisiana
P00072,Brown Medical Group,Family Medicine,Baton Rouge,Louisiana
P00073,Davis Medical Group,Internal Medicine,Lake Charles,LA
P00074,Brown Medical Group,Endocrinology,Baton Rouge,Louisiana
P00075,Hernandez Medical Group,Emergency Medicine,Baton Rouge,LA
P00076,Rodriguez Medical Group,Emergency Medicine,Lake Charles,LA
P00077,Hernandez Medical Group,Family Medicine,Lake Charles,Louisiana
P00078,Gonzalez Medical Group,Nephrology,Baton Rouge,LA
P00079,Smith Medical Group,Emergency Medicine,Lake Charles,LA
P00080,Rodriguez Medical Group,Internal Medicine,Shreveport,Louisiana
P00081,Hernandez Medical Group,Family Medicine,Lake Charles,Louisiana
P00082,Johnson Medical Group,Internal Medicine,Baton Rouge,la
P00083,Brown Medical Group,Endocrinology,New Orleans,Louisiana
P00084,Gonzalez Medical Group,Internal Medicine,Shreveport,LA
P00085,Rodriguez Medical Group,Endocrinology,New Orleans,Louisiana
P00086,Lopez Medical Group,Internal Medicine,Baton Rouge,la
P00087,Rodriguez Medical Group,Internal Medicine,Shreveport,la
P00088,Hernandez Medical Group,Emergency Medicine,Lake Charles,la
P00089,Rodriguez Medical Group,Primary Care,Shreveport,la
P00090,Rodriguez Medical Group,Nephrology,Lake Charles,LA
P00091,Williams Medical Group,Cardiology,New Orleans,la
P00092,Jones Medical Group,Cardiology,Lafayette,LA
P00093,Hernandez Medical Group,Cardiology,Lake Charles,Louisiana
P00094,Lopez Medical Group,Family Medicine,Shreveport,la
P00095,Rodriguez Medical Group,Cardiology,Baton Rouge,Louisiana
P00096,Lopez Medical Group,Emergency Medicine,Lake Charles,LA
P00097,Hernandez Medical Group,Emergency Medicine,Shreveport,LA
P00098,Williams Medical Group,Internal Medicine,Baton Rouge,la
P00099,Garcia Medical Group,Cardiology,Lafayette,LA
P00100,Hernandez Medical Group,Cardiology,Lake Charles,Louisiana
P00101,Rodriguez Medical Group,Primary Care,Baton Rouge,la
P00102,Davis Medical Group,Nephrology,Lake Charles,Louisiana
P00103,Rodriguez Medical Group,Emergency Medicine,Lafayette,la
P00104,Brown Medical Group,Family Medicine,Lake Charles,LA
P00105,Garcia Medical Group,Internal Medicine,Shreveport,la
P00106,Gonzalez Medical Group,Internal Medicine,Shreveport,la
P00107,Hernandez Medical Group,Internal Medicine,Baton Rouge,la
P00108,Smith Medical Group,Emergency Medicine,Lafayette,la
P00109,Rodriguez Medical Group,Emergency Medicine,New Orleans,la
P00110,Jones Medical Group,Cardiology,Lafayette,la
P00111,Davis Medical Group,Internal Medicine,Lafayette,Louisiana
P00112,Gonzalez Medical Group,Endocrinology,Shreveport,LA
P00113,Brown Medical Group,Cardiology,New Orleans,Louisiana
P00114,Davis Medical Group,Primary Care,Lake Charles,Louisiana
P00115,Johnson Medical Group,Primary Care,Shreveport,la
P00116,Martinez Medical Group,Nephrology,Shreveport,LA
P00117,Lopez Medical Group,Cardiology,New Orleans,Louisiana
P00118,Miller Medical Group,Nephrology,New Orleans,Louisiana
P00119,Hernandez Medical Group,Cardiology,Lake Charles,LA
P00120,Rodriguez Medical Group,Family Medicine,Lake Charles,Louisiana
P00121,Garcia Medical Group,Nephrology,Baton Rouge,LA
P00122,Davis Medical Group,Primary Care,Shreveport,LA
P00123,Johnson Medical Group,Cardiology,Baton Rouge,LA
P00124,Williams Medical Group,Family Medicine,Lafayette,Louisiana
P00125,Garcia Medical Group,Emergency Medicine,Lake Charles,la
P00126,Smith Medical Group,Nephrology,New Orleans,Louisiana
P00127,Garcia Medical Group,Emergency Medicine,New Orleans,LA
P00128,Williams Medical Group,Emergency Medicine,Lake Charles,la
P00129,Smith Medical Group,Internal Medicine,New Orleans,la
P00130,Brown Medical Group,Nephrology,Baton Rouge,Louisiana
P00131,Jones Medical Group,Internal Medicine,Lake Charles,la
P00132,Rodriguez Medical Group,Family Medicine,Shreveport,Louisiana
P00133,Gonzalez Medical Group,Primary Care,Lake Charles,LA
P00134,Davis Medical Group,Cardiology,New Orleans,la
P00135,Lopez Medical Group,Cardiology,Shreveport,la
P00136,Rodriguez Medical Group,Endocrinology,Shreveport,Louisiana
P00137,Brown Medical Group,Emergency Medicine,Shreveport,Louisiana
P00138,Lopez Medical Group,Family Medicine,Baton Rouge,Louisiana
P00139,Smith Medical Group,Internal Medicine,Lake Charles,Louisiana
P00140,Davis Medical Group,Endocrinology,Baton Rouge,LA
P00141,Miller Medical Group,Cardiology,Lake Charles,Louisiana
P00142,Gonzalez Medical Group,Primary Care,Shreveport,la
P00143,Jones Medical Group,Nephrology,Shreveport,la
P00144,Brown Medical Group,Endocrinology,New Orleans,LA
P00145,Martinez Medical Group,Family Medicine,Shreveport,LA
P00146,Garcia Medical Group,Cardiology,New Orleans,LA
P00147,Johnson Medical Group,Family Medicine,Lafayette,LA
P00148,Brown Medical Group,Emergency Medicine,New Orleans,LA
P00149,Lopez Medical Group,Primary Care,Shreveport,Louisiana
P00150,Williams Medical Group,Family Medicine,Shreveport,Louisiana
P00151,Jones Medical Group,Internal Medicine,Shreveport,Louisiana
P00152,Brown Medical Group,Primary Care,Lake Charles,Louisiana
